WptName,GR(6),Hill Name,Height,GridZN,GridEast,GridNorth,Latitude,Longitude,Climbed
0936.m,NN660775,A' Bhuidheanach Bheag,936,NN,66059,77594,56.870342,-4.199001,Y
0997.M,NH136714,A' Chailleach,997,NH,13621,71416,57.6938,-5.128715,Y
0929.m,NH681041,A' Chailleach,929.2,NH,68110,4178,57.109564,-4.179285,Y
1120.M,NH094147,A' Chraileag (A' Chralaig),1120,NH,9431,14791,57.184186,-5.154837,Y
0918.M,NH008231,A' Ghlas-bheinn,918,NH,822,23104,57.255081,-5.303686,Y
0967.M,NH007749,A' Mhaighdean,967,NH,776,74912,57.719644,-5.34672,Y
0973.m,NN604762,A' Mharconaich,973.2,NN,60423,76293,56.857002,-4.290668,Y
0934.m,NG465253,Am Basteir,934,NG,46563,25301,57.247931,-6.202982,Y
1032.M,NN176650,Am Bodach,1031.8,NN,17637,65097,56.741727,-4.983393,Y
0953.M,NH303793,Am Faochagach,953,NH,30361,79372,57.771801,-4.853899,Y
0996.M,NN378193,An Caisteal,995.8,NN,37873,19343,56.3386,-4.624368,
0924.m,NH241680,An Coileachan,923.9,NH,24172,68024,57.667625,-4.949498,
0981.M,NN187669,An Gearanach,981.4,NN,18772,66989,56.759143,-4.966203,
1129.M,NH133344,An Riabhachan,1129,NH,13363,34483,57.362438,-5.104728,
1007.M,NN933836,An Sgarsoch,1006.5,NN,93339,83685,56.932109,-3.754294,
1069.M,NH100332,An Socach,1069,NH,10061,33274,57.350229,-5.158603,
0944.M,NO079800,An Socach,944,NO,7938,80016,56.902295,-3.513165,
0921.m,NH088229,An Socach,921,NH,8817,22998,57.257542,-5.171294,
1117.m,NN638431,An Stuc,1117.1,NN,63890,43103,56.560093,-4.216258,
1063.M,NH068843,An Teallach-Bidein a' Ghlas Thuill,1062.5,NH,6896,84366,57.807098,-5.251767,
1059.m,NH064836,An Teallach-Sgurr Fiona,1058.6,NH,6406,83679,57.800726,-5.259443,
1020.M,NH051083,Aonach air Chrith,1019.5,NH,5103,8354,57.12464,-5.221291,
1234.M,NN197715,Aonach Beag,1234,NN,19707,71502,56.799998,-4.954121,
1116.m,NN457741,Aonach Beag,1115.8,NN,45786,74190,56.833496,-4.529181,
0952.m,NN161583,Aonach Eagach-Meall Dearg,952.2,NN,16124,58363,56.68072,-5.003271,
0968.M,NN140583,Aonach Eagach-Sgorr nam Fiannaidh,967.7,NN,14044,58304,56.679369,-5.037125,
1001.M,NH048137,Aonach Meadhoin,1001,NH,4881,13760,57.173026,-5.229182,
1221.m,NN193729,Aonach Mor,1221,NN,19304,72961,56.812932,-4.961744,
1024.M,NN056558,Beinn a' Bheithir-Sgorr Dhearg,1024,NN,5684,55846,56.653921,-5.17151,
1001.M,NN040555,Beinn a' Bheithir-Sgorr Dhonuill,1001,NN,4058,55540,56.650499,-5.197757,
1197.M,NJ092006,Beinn a' Bhuird (Beinn a' Bhuird North Top),1197,NJ,9231,621,57.08759,-3.499366,
1083.M,NJ045013,Beinn a' Chaorainn,1083,NJ,4515,1361,57.093281,-3.577434,
1052.M,NN386850,Beinn a' Chaorainn,1052,NN,38606,85063,56.928634,-4.653628,
1087.M,NN471781,Beinn a' Chlachair,1087,NN,47122,78155,56.869525,-4.509684,
0916.m,NN250256,Beinn a' Chleibh,916.3,NN,25054,25606,56.390231,-4.835632,
0980.M,NN109328,Beinn a' Chochuill,980,NN,10978,32848,56.449781,-5.068536,
1081.M,NN373440,Beinn a' Chreachain,1080.6,NN,37387,44075,56.560382,-4.647618,
0941.m,NN387185,Beinn a' Chroin,941.4,NN,38755,18573,56.331987,-4.609638,
1070.M,NN945724,Beinn a' Ghlo-Braigh Coire Chruinn-bhalgain,1070,NN,94563,72403,56.831083,-3.729505,
0976.M,NN936698,Beinn a' Ghlo-Carn Liath,976,NN,93606,69831,56.80777,-3.744106,
1122.M,NN971733,Beinn a' Ghlo-Carn nan Gabhar,1121.9,NN,97119,73309,56.839792,-3.688004,
1039.M,NN344432,Beinn Achaladair,1038.5,NN,34468,43242,56.551887,-4.694525,
0986.M,NG865612,Beinn Alligin-Sgurr Mhor,986,NG,86565,61270,57.59082,-5.572764,
0922.M,NG859601,Beinn Alligin-Tom na Gruagaich,922,NG,85958,60153,57.580519,-5.581912,
1004.M,NN331408,Beinn an Dothaidh,1004,NN,33178,40868,56.53013,-4.713964,
1019.M,NN517717,Beinn Bheoil,1019,NN,51716,71722,56.813276,-4.430662,
0931.m,NO058970,Beinn Bhreac,931,NO,5870,97075,57.055072,-3.553472,
1157.M,NN954922,Beinn Bhrotain,1157,NN,95413,92292,57.009868,-3.723797,
0949.M,NN203187,Beinn Bhuidhe,948.5,NN,20368,18717,56.326662,-4.906722,
0932.M,NN367179,Beinn Chabhair,932.1,NN,36760,17957,56.325775,-4.641485,
1084.M,NH259811,Beinn Dearg,1084,NH,25933,81183,57.78635,-4.929557,
1009.M,NN852778,Beinn Dearg,1008.7,NN,85296,77800,56.877346,-3.883719,
1076.M,NN325378,Beinn Dorain,1076,NN,32554,37855,56.50287,-4.722157,
0978.M,NN307254,Beinn Dubhchraig,978,NN,30763,25493,56.391295,-4.743193,
1103.m,NN449733,Beinn Eibhinn,1103.2,NN,44965,73302,56.825254,-4.542082,
1010.M,NG951611,Beinn Eighe-Ruadh-stac Mor,1010,NG,95142,61152,57.593735,-5.429454,
0993.M,NG966597,Beinn Eighe-Spidean Coire nan Clach,993,NG,96615,59780,57.582098,-5.403706,
0989.M,NN135327,Beinn Eunaich,989,NN,13562,32797,56.450352,-5.026639,
1032.M,NH018192,Beinn Fhada,1032,NH,1855,19253,57.220993,-5.283518,
1005.M,NH115282,Beinn Fhionnlaidh,1004.7,NH,11560,28271,57.305977,-5.129909,
0959.M,NN095497,Beinn Fhionnlaidh,959,NN,9508,49769,56.600978,-5.104749,
1103.m,NN625404,Beinn Ghlas,1103,NN,62530,40463,56.535996,-4.236976,
1011.M,NN254084,Beinn Ime,1011,NN,25496,8490,56.236812,-4.817142,
1045.M,NO045792,Beinn Iutharn Mhor,1045,NO,4566,79279,56.894994,-3.568229,
0926.M,NG964519,Beinn Liath Mhor,926,NG,96409,51982,57.512083,-5.400618,
0954.m,NH219724,Beinn Liath Mhor Fannaich,954,NH,21960,72411,57.706104,-4.989776,
0953.M,NN373411,Beinn Mhanach,953,NN,37370,41139,56.534031,-4.646058,
1183.M,NJ024016,Beinn Mheadhoin,1182.9,NJ,2460,1695,57.095849,-3.611464,
0935.M,NN376695,Beinn na Lap,935,NN,37616,69585,56.78939,-4.659994,
0960.M,NN148405,Beinn nan Aighenan,960,NN,14851,40528,56.520221,-5.011249,
0927.M,NN271066,Beinn Narnain,927,NN,27168,6655,56.220956,-4.789003,
0974.M,NG835126,Beinn Sgritheall,974,NG,83588,12682,57.153816,-5.579711,
0937.M,NN053460,Beinn Sgulaird,937,NN,5303,46088,56.566232,-5.170365,
1077.M,NN413383,Beinn Sheasgarnaich (Beinn Heasgarnich),1077.4,NN,41380,38339,56.510272,-4.579218,
0937.M,NH039727,Beinn Tarsuinn,937,NH,3962,72794,57.702052,-5.291601,
0915.M,NN361859,Beinn Teallach,914.6,NN,36136,85973,56.935928,-4.694757,
0946.m,NN416196,Beinn Tulaichean,945.8,NN,41660,19604,56.342216,-4.56333,
1010.M,NN579739,Beinn Udlamain,1010.2,NN,57945,73975,56.835444,-4.329976,
1148.M,NN496718,Ben Alder,1148,NN,49616,71855,56.813796,-4.465089,
1171.M,NJ131018,Ben Avon-Leabaidh an Daimh Bhuidhe,1171,NJ,13194,1845,57.099347,-3.434422,
1025.M,NN386322,Ben Challum (Beinn Challuim),1025,NN,38685,32235,56.454573,-4.619184,
0931.M,NN773308,Ben Chonzie,931,NN,77324,30857,56.453851,-3.992057,
1127.M,NN069304,Ben Cruachan,1127,NN,6962,30472,56.426839,-5.131828,
0927.M,NC477501,Ben Hope,927,NC,47750,50151,58.413113,-4.60786,
0962.M,NC585299,Ben Klibreck-Meall nan Con,962.1,NC,58530,29921,58.235202,-4.41113,
1214.M,NN635414,Ben Lawers,1214,NN,63553,41424,56.544922,-4.22086,
0974.M,NN367028,Ben Lomond,974,NN,36707,2863,56.190293,-4.633009,
1130.M,NN266262,Ben Lui (Beinn Laoigh),1130,NN,26634,26288,56.396932,-4.81052,
1309.M,NN988989,Ben Macdui (Beinn Macduibh),1309,NN,98899,98943,57.070368,-3.669099,
1174.M,NN432244,Ben More,1174,NN,43276,24417,56.385952,-4.540087,
0966.M,NM525330,Ben More,966,NM,52576,33078,56.424829,-6.014015,
0998.M,NC318201,Ben More Assynt,998,NC,31830,20150,58.138164,-4.858208,
1345.M,NN166712,Ben Nevis (Beinn Nibheis),1344.5,NN,16666,71288,56.796891,-5.003675,
1029.M,NN287253,Ben Oss,1029,NN,28761,25348,56.389272,-4.775488,
1078.M,NN125427,Ben Starav,1078,NN,12573,42709,56.538876,-5.049793,
0916.M,NN277098,Ben Vane,915.8,NN,27754,9844,56.249786,-4.781639,
0985.M,NN629189,Ben Vorlich,985,NN,62911,18916,56.34268,-4.219464,
0943.M,NN295124,Ben Vorlich,943,NN,29509,12474,56.274021,-4.755046,
1046.M,NH462683,Ben Wyvis-Glas Leathad Mor,1046,NH,46296,68379,57.678914,-4.579266,
1149.M,NN143542,Bidean nam Bian,1149.4,NN,14341,54211,56.642768,-5.029335,
0945.M,NH049412,Bidein a' Choire Sheasgaich,945,NH,4906,41265,57.419718,-5.250473,
0943.M,NN221677,Binnein Beag,943,NN,22172,67712,56.766942,-4.911176,
1130.M,NN212663,Binnein Mor,1130,NN,21219,66351,56.754367,-4.925795,
0929.M,NG529217,Bla Bheinn (Blabheinn) (Blaven),929,NG,52990,21743,57.219565,-6.09321,
1296.M,NN953999,Braeriach,1296,NN,95327,99915,57.078298,-3.728389,
0998.m,NO240815,Broad Cairn,998,NO,24056,81567,56.919148,-3.249082,
0958.m,NG460252,Bruach na Frithe,958,NG,46084,25200,57.246761,-6.210795,
0925.M,NN191548,Buachaille Etive Beag-Stob Coire Raineach,925,NN,19135,54800,56.649929,-4.951685,
0958.M,NN179535,Buachaille Etive Beag-Stob Dubh,958,NN,17909,53541,56.638158,-4.970763,
1021.M,NN222542,Buachaille Etive Mor-Stob Dearg,1021.4,NN,22265,54254,56.646229,-4.900336,
0953.m,NN190525,Buachaille Etive Mor-Stob na Broige,953.4,NN,19072,52568,56.62988,-4.951151,
1090.M,NJ041063,Bynack More,1090,NJ,4190,6373,57.13822,-3.584716,
1012.m,NO222825,Cairn Bannoch,1012,NO,22287,82555,56.927728,-3.278419,
1245.m,NJ005040,Cairn Gorm,1244.8,NJ,516,4065,57.116714,-3.644477,
1064.m,NO185788,Cairn of Claise,1064,NO,18549,78890,56.89417,-3.338637,
1291.M,NN963972,Cairn Toul,1291,NN,96328,97228,57.054397,-3.710773,
0964.M,NN915758,Carn a' Chlamain,963.5,NN,91591,75807,56.860968,-3.779629,
1110.m,NO226845,Carn a' Choire Bhoidheach,1109.9,NO,22673,84557,56.945773,-3.272707,
0975.M,NO107767,Carn a' Gheoidh,975,NO,10703,76700,56.873065,-3.466616,
1037.M,NN994951,Carn a' Mhaim,1037,NN,99457,95199,57.036871,-3.6584,
0994.M,NN904841,Carn an Fhidhleir (Carn Ealar),994.1,NN,90467,84179,56.935874,-3.801675,
1029.M,NO028772,Carn an Righ,1029,NO,2871,77267,56.876574,-3.595272,
1047.m,NO208842,Carn an t-Sagairt Mor,1047,NO,20810,84280,56.942973,-3.303227,
1019.m,NO174804,Carn an Tuirc,1019,NO,17453,80482,56.908273,-3.357141,
0915.m,NO133791,Carn Aosda,915.3,NO,13397,79164,56.895696,-3.423274,
0945.M,NO051832,Carn Bhac,945.1,NO,5104,83225,56.930541,-3.56088,
1034.M,NN504764,Carn Dearg,1034,NN,50416,76444,56.855242,-4.454693,
0946.M,NH635023,Carn Dearg,945.7,NH,63568,2398,57.092261,-4.253246,
0941.M,NN417661,Carn Dearg,941,NN,41773,66143,56.759931,-4.589888,
1183.M,NH123261,Carn Eige (Carn Eighe),1182.8,NH,12355,26197,57.287701,-5.115159,
0957.m,NH145125,Carn Ghluasaid,957,NH,14576,12523,57.165959,-5.068159,
